organization,address,zipcode,city,country,website,lat,lng
Indian and Northern Affairs Canada,"Aboriginal Affairs and Northern Development Canada Terrasses de la Chaudière 10 Wellington, North Tower Gatineau",K1A 0H4,"Ottawa, Ontario",Canada,http://www.aadnc-aandc.gc.ca,45.4252724,-75.7202141
University of Oulu,P.O. Box  3000 (Pentti Kaiteran katu 1),90014,Oulu,Finland,http://www.oulu.fi/english/,65.0593177,25.4662935
Cold and Arid Regions Environmental and Engineering Research Institute,"Donggang West Road 320, Gansu",730000,Lanzhou,China,http://english.careeri.cas.cn/,36.049556,103.86158
Swedish Nuclear Waste Management,"SKB, Blekholmstorget 30, Box 250",101 24,Stockholm,Sweden,http://www.skb.se/,59.33145,18.0523925
Lund University Department of Physical Geography and Ecosystem Science,Sölvegatan 12,223 62,Lund,Sweden,http://www.lunduniversity.lu.se/,55.7119483,13.203493
Russian Academy of Sciences,"Leninskii avenue, 14",119991,Moscow,Russia,http://www.ras.ru/,55.7107897,37.5778246
University of Alaska Fairbanks Geophysical Institute,"903 Koyukuk Drive, P.O.Box 757320",99775,Fairbanks,USA,http://www.gi.alaska.edu/,64.8592178,-147.8491435
"The George Washington University, Department of Geography","1922 F St., NW",20052,Washington,USA,http://www.gwu.edu/,38.900047,-77.0483708
Zentralanstalt für Meteorologie und Geodynamik,Hohe Warte 38,1190,Vienna,Austria,http://www.zamg.ac.at,48.2484706,16.3557956
Institute of Geography Mongolian Academy of Science,Amariin gudamj 1,210620,Ulaanbaatar,Mongolia,http://www.oocities.org/igeog/,37.7698646,-122.4660947
Insubria University,"The University of Insubria, - Via Ravasi, 2",21100,Varese,Italy,http://www4.uninsubria.it/on-line/home.html,45.814548,8.827665
National University of Mongolia,"Baga Toirog,",14200,Ulaanbaatar,Mongolia,http://www.num.edu.mn/en/index.ashx,47.9230352,106.9188949
The Geological Survey of Norway,Postboks 6315 Sluppen,7491,Trondheim,Norway,http://www.ngu.no/en-gb/,63.4305149,10.3950528
Melnikov Permafrost Institute of the Siberian Branch of the RAS,"36, Merzlotnaya str.",677010,Yakutsk,Russia,http://mpi.ysn.ru,56.757419,104.7068969
Tyumen State Oil and Gas University,"Tyumen State Oil and Gas University 38, Volodarskogo St.,",625000,Tyumen,Russia,http://www.tsogu.info/,57.152367,65.5442101
Norwegian Meteorological Institute ,Henrik Mohns Plass 1,313,Oslo,Norway,http://met.no/English/,59.9426757,10.7206611
Institute of Petroleum Chemistry of the Siberian Branch of the RAS,"3, Academichesky ave.",634021,Tomsk,Russia,http://www.ipc.tsc.ru/,56.4786215,85.0162124
Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,P.O. Box 60 01 49,14401,Potsdam,Germany,http://www.awi.de,53.5332554,8.5805155
"University of Fribourg, Departement of Geosciences",Av. Europe 20,1700,Fribourg,Swiss,http://www.unifr.ch/home/welcomeE.php,46.806357,7.152006
Universidad Complutense de Madrid,"Avda. de Séneca, 2 Ciudad Universitaria",28040,Madrid,Spain,https://www.ucm.es/,40.4478246,-3.7285872
"University of Lausanne, Institute of Earth Surface Dynamics",University of Lausanne,CH-1015,Lausanne,Switzerland,http://www.unil.ch/index.html,46.5210895,6.5801606
"University of Zurich, Departement of Geography",Rämistrasse 71,CH-8006,Zürich,Switzerland,http://www.uzh.ch/index.html,47.3743221,8.5509812
Rhodes University,"Department of Geography, P.O. Box 94",6140,Grahamstown,South Africa,http://www.ru.ac.za/,-33.3135911,26.5163135
University of Graz,Universitätsplatz 3,8010,Graz,Austria,http://www.uni-graz.at,47.0777872,15.4499126
University of Tsukuba,"1-1-1 Tennodai, Ibaraki Prefecture",305-0006,Tsukuba,Japan,http://www.tsukuba.ac.jp/english/,36.1088237,140.103652
Hokkaido University,"Kita 8, Nishi 5, Kita-ku",060-0808,Sapporo,Japan,https://www.oia.hokudai.ac.jp/,43.0779575,141.340013
Shinshu University,3-1-1 Asahi,390-0802,Matsumoto,Japan,http://www.shinshu-u.ac.jp/english/index.html,36.2500574,137.9789403
University of Texas at El Passo,500 West University Avenue,79968,El Paso,USA,http://www.utep.edu/,31.7708544,-106.5046216
